Ticket ID,Customer query,Response,Timestamp,Tags
T001,How do I reset my password?,To reset your password go to Settings > Security > Reset Password. You will receive a confirmation email within 2 minutes.,2026-01-15T09:30:00Z,Technical issue
T002,I was charged twice for my subscription this month,We apologize for the duplicate charge. We have initiated a refund for the extra payment. It should reflect in your account within 3-5 business days.,2026-01-16T11:45:00Z,"Billing,Refund"
T003,Can I upgrade from the Basic to Pro plan mid-cycle?,Yes you can upgrade anytime. The price difference will be prorated for the remainder of your billing cycle. Go to Account > Subscription > Change Plan.,2026-01-17T14:20:00Z,Billing
T004,The app keeps crashing when I try to export reports,We have identified a bug in the report export module affecting certain date ranges. Please update to version 3.2.1 which includes the fix. If the issue persists clear your browser cache and retry.,2026-01-18T08:10:00Z,Technical issue
T005,I want to cancel my subscription and get a refund for this month,We are sorry to see you go. Your subscription has been cancelled and a prorated refund has been processed. You will retain access until the end of your current billing period.,2026-01-19T16:55:00Z,"Refund,Billing"
T006,What file formats do you support for data import?,We support CSV and JSON and XLSX for data import. You can also use our API for programmatic uploads. See docs.example.com/import for details.,2026-01-20T10:00:00Z,General query
T007,My login keeps timing out even though my credentials are correct,This is usually caused by an expired session token. Please clear your browser cookies for our domain and try logging in again. If it persists try an incognito window or a different browser.,2026-01-21T13:30:00Z,Technical issue
T008,How does your pricing work for teams?,Our Team plan starts at $12/user/month with a minimum of 5 seats. Volume discounts are available for 50+ seats. Visit example.com/pricing for a full breakdown.,2026-01-22T09:15:00Z,General query
T009,I accidentally deleted a project — can it be recovered?,Deleted projects are kept in soft-delete for 30 days. Go to Settings > Trash and click Restore next to the project. After 30 days recovery is not possible.,2026-01-23T15:40:00Z,Technical issue
T010,I need an invoice for my last three payments for expense reporting,You can download invoices from Account > Billing History. Select the payments you need and click Download PDF. If you need a custom format please reply with the details.,2026-01-24T11:20:00Z,Billing
